Time domain signal
Samplerate: 100000 Samples/sec
Col 1 [N]	Model: Hammer PCB 056E80	SerialNr.: 27038	Sensitivity: 0,023300000  [V/N]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 2 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82951	Sensitivity: 0,000587000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_left_top	
Col 3 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 82745	Sensitivity: 0,000567000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Bridge_right_top	
Col 4 [m/s^2]	Model: ACC PCB 352C23	SerialNr.: 125624	Sensitivity: 0,000545000  [V/m/s^2]	PreampGain: 10,0	SensorPosition: Cello Body	
Col 5 [m/s]	Model: Polytec IVS-400	SerialNr.: 0170642	Sensitivity: 40,000000000  [V/m/s]	PreampGain: 1,0	SensorPosition: Bridge_right_top	
DataLines: 114688
Col 1 [N]	Col 2 [m/s^2]	Col 3 [m/s^2]	Col 4 [m/s^2]	Col 5 [m/s]	
-0.027681	-0.434706	-0.093166	-0.266548	-0.000568
-0.021072	-0.418628	-0.180772	-0.282954	-0.000519
-0.035057	-0.630181	-0.304297	-0.417844	-0.000632
-0.030665	-0.487171	-0.254361	-0.404172	-0.000643
-0.023694	-0.493941	-0.289404	-0.427869	-0.000535
-0.035632	-0.572639	-0.343720	-0.400527	-0.000584
-0.033330	-0.481248	-0.366497	-0.474351	-0.000470
-0.024994	-0.541329	-0.324446	-0.421489	-0.000553
-0.035313	-0.473632	-0.331455	-0.309385	-0.000491
-0.036080	-0.466862	-0.266626	-0.419666	-0.000545
-0.049895	-0.449938	-0.283272	-0.426958	-0.000465
-0.031518	-0.409320	-0.286776	-0.340373	-0.000641
-0.038297	-0.535405	-0.338463	-0.459769	-0.000541
-0.032392	-0.558253	-0.340216	-0.441540	-0.000488
-0.035505	-0.634412	-0.487394	-0.533594	-0.000499
-0.035462	-0.406781	-0.291156	-0.391412	-0.000486
-0.031305	-0.557407	-0.348976	-0.389590	-0.000573
-0.031113	-0.556561	-0.275387	-0.421489	-0.000511
-0.030409	-0.371241	-0.159747	-0.290245	-0.000606
-0.031923	-0.533713	-0.287652	-0.416021	-0.000447
-0.031475	-0.558253	-0.357737	-0.478909	-0.000467
-0.032499	-0.417782	-0.276263	-0.284777	-0.000552
-0.030004	-0.586178	-0.250857	-0.362247	-0.000513
-0.024355	-0.616642	-0.318314	-0.438806	-0.000542
-0.032008	-0.438937	-0.244725	-0.306651	-0.000506
-0.029343	-0.532021	-0.334959	-0.350399	-0.000556
-0.020645	-0.570100	-0.225451	-0.372273	-0.000516
-0.034076	-0.600564	-0.261370	-0.419666	-0.000574
-0.030367	-0.576024	-0.337587	-0.485288	-0.000490
-0.020752	-0.463478	-0.216691	-0.423312	-0.000547
-0.032392	-0.408474	-0.165003	-0.308474	-0.000540
-0.029962	-0.522712	-0.259618	-0.378653	-0.000518
-0.020923	-0.493941	-0.285900	-0.336727	-0.000571
-0.033373	-0.505788	-0.315686	-0.348576	-0.000488
-0.032776	-0.455015	-0.292032	-0.423312	-0.000496
-0.026465	-0.511712	-0.357737	-0.557290	-0.000540
-0.034481	-0.603949	-0.415557	-0.417844	-0.000515
-0.031582	-0.569254	-0.258742	-0.404172	-0.000462
-0.028171	-0.569254	-0.416433	-0.537239	-0.000554
-0.034332	-0.503249	-0.331455	-0.485288	-0.000517
-0.036293	-0.680108	-0.298165	-0.458857	-0.000624
-0.030900	-0.504096	-0.303421	-0.345842	-0.000610
-0.033160	-0.493941	-0.334083	-0.421489	-0.000614
-0.038191	-0.581101	-0.330579	-0.462503	-0.000606
-0.030026	-0.569254	-0.317438	-0.375918	-0.000588
-0.034481	-0.587024	-0.375258	-0.419666	-0.000582
-0.039512	-0.510019	-0.331455	-0.406907	-0.000475
-0.032051	-0.545560	-0.393655	-0.453389	-0.000566
-0.031710	-0.507481	-0.311305	-0.354044	-0.000543
-0.033607	-0.480402	-0.150986	-0.275662	-0.000492
-0.028789	-0.480402	-0.187781	-0.318499	-0.000552
-0.029749	-0.419475	-0.268378	-0.307562	-0.000496
-0.033010	-0.475325	-0.263998	-0.391412	-0.000587
-0.030878	-0.545560	-0.292032	-0.428781	-0.000473
-0.028341	-0.450784	-0.227204	-0.320322	-0.000515
-0.028640	-0.536252	-0.273635	-0.399615	-0.000442
-0.030281	-0.509173	-0.377010	-0.282042	-0.000455
-0.027105	-0.590409	-0.275387	-0.417844	-0.000402
-0.035014	-0.552330	-0.368249	-0.477997	-0.000480
-0.035910	-0.587024	-0.303421	-0.415109	-0.000543
-0.025719	-0.553176	-0.360365	-0.453389	-0.000655
-0.034908	-0.642874	-0.393655	-0.419666	-0.000588
-0.033799	-0.403397	-0.170260	-0.237383	-0.000535
-0.025336	-0.471093	-0.130837	-0.279308	-0.000524
-0.032904	-0.455015	-0.136093	-0.415109	-0.000456
-0.035910	-0.528636	-0.302545	-0.326702	-0.000543
-0.027617	-0.499865	-0.213187	-0.349487	-0.000491
-0.035206	-0.502403	-0.256114	-0.496225	-0.000574
-0.035014	-0.512558	-0.222823	-0.395058	-0.000549
-0.010455	-0.430475	-0.219319	-0.337639	-0.000553
-0.035142	-0.504096	-0.221947	-0.437895	-0.000534
-0.035611	-0.450784	-0.279767	-0.363159	-0.000498
-0.010562	-0.472786	-0.213187	-0.363159	-0.000662
-0.035270	-0.513404	-0.355985	-0.405995	-0.000498
-0.037061	-0.303544	-0.172012	-0.358601	-0.000633
-0.026721	-0.513404	-0.292032	-0.404172	-0.000521
-0.032477	-0.423706	-0.093166	-0.338550	-0.000521
-0.042049	-0.522712	-0.303421	-0.434249	-0.000528
-0.028704	-0.566715	-0.321818	-0.457946	-0.000495
-0.030964	-0.416090	-0.193913	-0.335816	-0.000507
-0.033714	-0.460939	-0.315686	-0.387767	-0.000594
-0.027382	-0.447400	-0.259618	-0.364070	-0.000546
-0.031347	-0.470247	-0.263998	-0.358601	-0.000477
-0.034098	-0.532021	-0.293784	-0.364981	-0.000632
-0.025719	-0.462631	-0.292032	-0.334905	-0.000577
-0.031198	-0.557407	-0.216691	-0.404172	-0.000536
-0.033543	-0.518481	-0.209682	-0.313942	-0.000522
-0.024824	-0.517635	-0.286776	-0.354956	-0.000574
-0.029983	-0.477017	-0.276263	-0.278397	-0.000493
-0.036187	-0.526097	-0.250857	-0.331259	-0.000581
-0.027425	-0.534559	-0.264874	-0.363159	-0.000615
-0.028363	-0.479556	-0.332331	-0.424224	-0.000524
-0.035611	-0.480402	-0.204426	-0.345842	-0.000496
-0.027894	-0.447400	-0.340216	-0.428781	-0.000472
-0.028938	-0.494787	-0.227204	-0.398704	-0.000460
-0.038148	-0.548945	-0.301669	-0.504428	-0.000473
-0.031433	-0.622565	-0.395407	-0.535416	-0.000588
-0.028000	-0.515096	-0.278015	-0.433338	-0.000634
-0.036400	-0.456708	-0.327075	-0.351310	-0.000444
-0.030921	-0.510865	-0.305173	-0.435161	-0.000523
-0.028811	-0.481248	-0.376134	-0.409641	-0.000544
-0.036016	-0.574331	-0.320066	-0.488023	-0.000521
-0.033032	-0.520174	-0.296412	-0.484377	-0.000492
-0.031198	-0.685185	-0.467244	-0.530859	-0.000525
-0.033714	-0.498172	-0.339339	-0.442452	-0.000505
-0.035952	-0.465170	-0.213187	-0.391412	-0.000543
-0.032584	-0.574331	-0.328827	-0.400527	-0.000575
-0.033735	-0.544714	-0.194789	-0.401438	-0.000442
-0.033223	-0.462631	-0.249981	-0.365893	-0.000559
-0.034098	-0.619180	-0.392779	-0.540885	-0.000488
-0.033160	-0.516789	-0.220195	-0.458857	-0.000609
-0.031092	-0.444861	-0.218443	-0.355867	-0.000508
